TimeUTC,TimeDK,RegionName,ConsumerCategory2,ConsumerCategory3,ConsumptionkWh
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Hovedstaden,Erhverv,Erhverv,565281.298
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,84944.387
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Hovedstaden,Privat,Privat,363313.425
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Midtjylland,Erhverv,Erhverv,541027.873
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,48760.378
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Midtjylland,Privat,Privat,306669.017
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Nordjylland,Erhverv,Erhverv,319235.142
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,25097.211
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Nordjylland,Privat,Privat,156818.251
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Sjælland,Erhverv,Erhverv,309903.139
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Sjælland,Erhverv,Offentlige foretagender,36115.368
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Sjælland,Privat,Privat,278147.533
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Syddanmark,Erhverv,Erhverv,657818.496
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,44817.972
2025-12-31T22:00:00,2025-12-31T23:00:00,Region Syddanmark,Privat,Privat,289363.36
2025-12-31T21:00:00,2025-12-31T22:00:00,Region Hovedstaden,Erhverv,Erhverv,570852.684
2025-12-31T21:00:00,2025-12-31T22:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,87010.382
2025-12-31T21:00:00,2025-12-31T22:00:00,Region Hovedstaden,Privat,Privat,385531.952
