TimeUTC,TimeDK,PriceArea,DayAheadPriceEUR,DayAheadPriceDKK,_source_dataset
2020-12-31T23:00:00,2021-01-01T00:00:00,DK1,50.869999,378.519989,Elspotprices
2021-01-01T00:00:00,2021-01-01T01:00:00,DK1,48.189999,358.579987,Elspotprices
2021-01-01T01:00:00,2021-01-01T02:00:00,DK1,44.68,332.459991,Elspotprices
2021-01-01T02:00:00,2021-01-01T03:00:00,DK1,42.919998,319.369995,Elspotprices
2021-01-01T03:00:00,2021-01-01T04:00:00,DK1,40.389999,300.540009,Elspotprices
2021-01-01T04:00:00,2021-01-01T05:00:00,DK1,40.200001,299.130005,Elspotprices
2021-01-01T05:00:00,2021-01-01T06:00:00,DK1,39.630001,294.890015,Elspotprices
2021-01-01T06:00:00,2021-01-01T07:00:00,DK1,40.09,298.309998,Elspotprices
2021-01-01T07:00:00,2021-01-01T08:00:00,DK1,41.27,307.089996,Elspotprices
2021-01-01T08:00:00,2021-01-01T09:00:00,DK1,44.880001,333.950012,Elspotprices
2021-01-01T09:00:00,2021-01-01T10:00:00,DK1,45.0,334.850006,Elspotprices
2021-01-01T10:00:00,2021-01-01T11:00:00,DK1,47.200001,351.220001,Elspotprices
2021-01-01T11:00:00,2021-01-01T12:00:00,DK1,50.779999,377.850006,Elspotprices
2021-01-01T12:00:00,2021-01-01T13:00:00,DK1,45.490002,338.48999,Elspotprices
2021-01-01T13:00:00,2021-01-01T14:00:00,DK1,44.73,332.839996,Elspotprices
2021-01-01T14:00:00,2021-01-01T15:00:00,DK1,46.59,346.679993,Elspotprices
2021-01-01T15:00:00,2021-01-01T16:00:00,DK1,52.990002,394.299988,Elspotprices
2021-01-01T16:00:00,2021-01-01T17:00:00,DK1,60.259998,448.390015,Elspotprices
2021-01-01T17:00:00,2021-01-01T18:00:00,DK1,60.610001,451.0,Elspotprices
2021-01-01T18:00:00,2021-01-01T19:00:00,DK1,60.360001,449.140015,Elspotprices
2021-01-01T19:00:00,2021-01-01T20:00:00,DK1,57.400002,427.109985,Elspotprices
2021-01-01T20:00:00,2021-01-01T21:00:00,DK1,53.860001,400.769989,Elspotprices
2021-01-01T21:00:00,2021-01-01T22:00:00,DK1,53.450001,397.720001,Elspotprices
2021-01-01T22:00:00,2021-01-01T23:00:00,DK1,49.720001,369.970001,Elspotprices
2021-01-01T23:00:00,2021-01-02T00:00:00,DK1,46.689999,347.420013,Elspotprices
2021-01-02T00:00:00,2021-01-02T01:00:00,DK1,42.43,315.720001,Elspotprices
2021-01-02T01:00:00,2021-01-02T02:00:00,DK1,41.09,305.75,Elspotprices
2021-01-02T02:00:00,2021-01-02T03:00:00,DK1,40.0,297.640015,Elspotprices
2021-01-02T03:00:00,2021-01-02T04:00:00,DK1,37.549999,279.410004,Elspotprices
2021-01-02T04:00:00,2021-01-02T05:00:00,DK1,39.0,290.200012,Elspotprices
