TimeUTC,TimeDK,HousingCategory,HeatingCategory,ConsumptionkWh
2025-12-31T22:00:00,2025-12-31T23:00:00,Andet,Andet,66710.976
2025-12-31T22:00:00,2025-12-31T23:00:00,Andet,Elvarme eller varmepumpe,9442.536
2025-12-31T22:00:00,2025-12-31T23:00:00,Etageejendom,Andet,153486.896
2025-12-31T22:00:00,2025-12-31T23:00:00,Etageejendom,Elvarme eller varmepumpe,6313.43
2025-12-31T22:00:00,2025-12-31T23:00:00,Fritidshuse,Andet,9755.378
2025-12-31T22:00:00,2025-12-31T23:00:00,Fritidshuse,Elvarme eller varmepumpe,135210.685
2025-12-31T22:00:00,2025-12-31T23:00:00,Parcel- og rækkehuse,Andet,485956.813
2025-12-31T22:00:00,2025-12-31T23:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,358103.1
2025-12-31T22:00:00,2025-12-31T23:00:00,Ukendt,Andet,93557.783
2025-12-31T22:00:00,2025-12-31T23:00:00,Ukendt,Elvarme eller varmepumpe,75773.989
2025-12-31T21:00:00,2025-12-31T22:00:00,Andet,Andet,69442.972
2025-12-31T21:00:00,2025-12-31T22:00:00,Andet,Elvarme eller varmepumpe,9793.718
2025-12-31T21:00:00,2025-12-31T22:00:00,Etageejendom,Andet,167775.074
2025-12-31T21:00:00,2025-12-31T22:00:00,Etageejendom,Elvarme eller varmepumpe,6499.731
2025-12-31T21:00:00,2025-12-31T22:00:00,Fritidshuse,Andet,10356.072
2025-12-31T21:00:00,2025-12-31T22:00:00,Fritidshuse,Elvarme eller varmepumpe,142824.594
2025-12-31T21:00:00,2025-12-31T22:00:00,Parcel- og rækkehuse,Andet,514320.397
2025-12-31T21:00:00,2025-12-31T22:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,372905.116
2025-12-31T21:00:00,2025-12-31T22:00:00,Ukendt,Andet,99696.521
2025-12-31T21:00:00,2025-12-31T22:00:00,Ukendt,Elvarme eller varmepumpe,78860.921
2025-12-31T20:00:00,2025-12-31T21:00:00,Andet,Andet,73222.941
2025-12-31T20:00:00,2025-12-31T21:00:00,Andet,Elvarme eller varmepumpe,10316.87
2025-12-31T20:00:00,2025-12-31T21:00:00,Etageejendom,Andet,186632.288
2025-12-31T20:00:00,2025-12-31T21:00:00,Etageejendom,Elvarme eller varmepumpe,6916.46
2025-12-31T20:00:00,2025-12-31T21:00:00,Fritidshuse,Andet,11040.502
2025-12-31T20:00:00,2025-12-31T21:00:00,Fritidshuse,Elvarme eller varmepumpe,153654.584
2025-12-31T20:00:00,2025-12-31T21:00:00,Parcel- og rækkehuse,Andet,556312.713
2025-12-31T20:00:00,2025-12-31T21:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,392291.866
2025-12-31T20:00:00,2025-12-31T21:00:00,Ukendt,Andet,108078.533
2025-12-31T20:00:00,2025-12-31T21:00:00,Ukendt,Elvarme eller varmepumpe,82857.816
2025-12-31T19:00:00,2025-12-31T20:00:00,Andet,Andet,77624.358
2025-12-31T19:00:00,2025-12-31T20:00:00,Andet,Elvarme eller varmepumpe,10818.796
2025-12-31T19:00:00,2025-12-31T20:00:00,Etageejendom,Andet,217956.952
2025-12-31T19:00:00,2025-12-31T20:00:00,Etageejendom,Elvarme eller varmepumpe,7307.109
2025-12-31T19:00:00,2025-12-31T20:00:00,Fritidshuse,Andet,11926.51
2025-12-31T19:00:00,2025-12-31T20:00:00,Fritidshuse,Elvarme eller varmepumpe,165741.53
2025-12-31T19:00:00,2025-12-31T20:00:00,Parcel- og rækkehuse,Andet,620225.977
2025-12-31T19:00:00,2025-12-31T20:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,409535.105
2025-12-31T19:00:00,2025-12-31T20:00:00,Ukendt,Andet,121820.014
2025-12-31T19:00:00,2025-12-31T20:00:00,Ukendt,Elvarme eller varmepumpe,86286.618
2025-12-31T18:00:00,2025-12-31T19:00:00,Andet,Andet,84756.195
2025-12-31T18:00:00,2025-12-31T19:00:00,Andet,Elvarme eller varmepumpe,11483.163
2025-12-31T18:00:00,2025-12-31T19:00:00,Etageejendom,Andet,266707.026
2025-12-31T18:00:00,2025-12-31T19:00:00,Etageejendom,Elvarme eller varmepumpe,7931.335
2025-12-31T18:00:00,2025-12-31T19:00:00,Fritidshuse,Andet,13112.568
2025-12-31T18:00:00,2025-12-31T19:00:00,Fritidshuse,Elvarme eller varmepumpe,180524.497
2025-12-31T18:00:00,2025-12-31T19:00:00,Parcel- og rækkehuse,Andet,740479.79
2025-12-31T18:00:00,2025-12-31T19:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,436960.748
2025-12-31T18:00:00,2025-12-31T19:00:00,Ukendt,Andet,145592.426
2025-12-31T18:00:00,2025-12-31T19:00:00,Ukendt,Elvarme eller varmepumpe,90502.746
2025-12-31T17:00:00,2025-12-31T18:00:00,Andet,Andet,91975.992
2025-12-31T17:00:00,2025-12-31T18:00:00,Andet,Elvarme eller varmepumpe,11804.547
2025-12-31T17:00:00,2025-12-31T18:00:00,Etageejendom,Andet,316269.599
2025-12-31T17:00:00,2025-12-31T18:00:00,Etageejendom,Elvarme eller varmepumpe,8398.941
