fold,fold_end,n_train,day1_mae,day2_mae,day3_mae,day4_mae,day5_mae
0,2023-01-01,87590,36.41549598379198,42.344532414092434,46.998707893007975,52.916573407744416,56.37174254792154
1,2023-04-01,109180,60.56406653155244,80.73487415981288,97.76310432414414,98.1832211276376,95.49736989048934
2,2023-07-01,131020,38.2031602881755,66.30637221929014,70.10236217436115,87.46685326888992,97.75399165645834
3,2023-10-01,153100,26.701199433118386,32.17039880993963,36.37023748525969,40.514670309072784,44.17426264167429
4,2024-01-01,175180,34.499362938253235,39.21480906797377,41.91828484933648,44.10605117680594,45.692351322546784
5,2024-04-01,197010,21.613483322682853,24.415686089600804,25.24703426405742,25.548462495948147,27.344014644375473
6,2024-07-01,218850,21.249584434832474,25.28367995099713,25.916366950504635,26.044783708610748,25.561241324756807
7,2024-10-01,240930,28.60030655766143,33.48877622642595,34.887829549506456,37.43151264412045,36.13829172021557
8,2025-01-01,263010,26.58631047954353,29.95177825397195,31.86471499461389,32.72445438646976,32.494524749111804
9,2025-04-01,284600,21.503626113350865,22.588270033435393,22.987650063233158,23.870930814524343,24.222410217765788
10,2025-07-01,306440,18.637935983839668,20.864287885641694,21.75528564124083,21.242917819578032,21.901139399491193
11,2025-10-01,328520,18.47407965136132,19.946939098276324,20.727887939362972,21.262748701396333,21.391982567227085
