Date,total_consumption_kWh,peak_load_kWh,avg_load_kWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,daily_maintenance_pressure,rolling_30d_pressure,rolling_30d_overloaded_hours
2022-03-01,64340968.333000004,3039508.84,2680873.6805416667,0,0,0,0,14.032480865570955,,
2022-03-02,62727635.165,3064174.988,2613651.4652083335,0,0,0,0,13.417654835203082,,
2022-03-03,62503688.819,3060773.699,2604320.3674583333,0,0,0,0,13.317456788012441,,
2022-03-04,60407225.404,3027307.376,2516967.725166667,0,0,0,0,12.476892991018774,,
2022-03-05,53946383.067999996,2622918.5779999997,2247765.9611666664,0,0,0,0,9.827689745380889,,
2022-03-06,52236834.126,2588787.841,2176534.75525,0,0,0,0,9.235071117300524,,
2022-03-07,61160655.055,2971051.692,2548360.627291667,0,0,0,0,12.775764159382309,85.08301050186897,0.0
2022-03-08,61307846.537,2976852.062,2554493.605708333,0,0,0,0,12.815146460012167,97.89815696188114,0.0
2022-03-09,62053777.111,2955028.876,2585574.0462916666,0,0,0,0,13.116169914230156,111.0143268761113,0.0
2022-03-10,68905352.789,3345958.776,2871056.3662083335,0,0,0,2,16.184059726981562,127.19838660309286,0.0
2022-03-11,70547931.424,3296792.084,2939497.1426666663,0,0,0,1,16.78425194335412,143.982638546447,0.0
2022-03-12,60076997.74,2771004.28,2503208.2391666668,0,0,0,0,12.124086575424855,156.10672512187185,0.0
2022-03-13,56787329.479,2823309.043,2366138.7282916666,0,0,0,0,11.120314688496098,167.22703981036793,0.0
2022-03-14,61429819.888,2817797.627,2559575.8286666665,0,0,0,0,12.699820827676337,179.92686063804427,0.0
2022-03-15,59615238.472,2888715.367,2483968.2696666666,0,0,0,0,12.16388610369259,192.09074674173687,0.0
2022-03-16,61480091.491,2988211.5859999997,2561670.4787916667,0,0,0,0,12.964309408588433,205.0550561503253,0.0
2022-03-17,66422483.731,3317713.0409999997,2767603.4887916665,0,0,0,1,15.114674017535735,220.16973016786102,0.0
2022-03-18,57393747.088,2799885.213,2391406.128666667,0,0,0,0,11.204386487009794,231.37411665487082,0.0
2022-03-19,55083128.463,2707807.767,2295130.352625,0,0,0,0,10.38906059056975,241.76317724544057,0.0
2022-03-20,58166187.495,2998379.6350000002,2423591.145625,0,0,0,0,11.598304731408145,253.36148197684872,0.0
2022-03-21,61230654.803,2881120.265,2551277.2834583335,0,0,0,0,12.64532386846284,266.00680584531153,0.0
2022-03-22,58651178.366,2828693.395,2443799.098583333,0,0,0,0,11.711053026088628,277.7178588714002,0.0
2022-03-23,58152225.075,2794473.437,2423009.3781250003,0,0,0,0,11.521877165651562,289.2397360370517,0.0
2022-03-24,57948337.701,2789257.3910000003,2414514.0708749997,0,0,0,0,11.431179176414185,300.67091521346595,0.0
2022-03-25,54970044.105,2704357.018,2290418.504375,0,0,0,0,10.34912065077153,311.02003586423746,0.0
2022-03-26,50491095.746,2430256.557,2103795.6560833333,0,0,0,0,8.658861331402901,319.6788971956404,0.0
2022-03-27,45954546.745,2286452.2309999997,1998023.771521739,0,0,0,0,7.441331551046868,327.12022874668725,0.0
2022-03-28,59874664.974,3067038.982,2494777.70725,0,0,0,0,12.456218277484206,339.57644702417144,0.0
2022-03-29,58864756.19,2853966.509,2452698.174583333,0,0,0,0,11.808232768765022,351.3846797929365,0.0
2022-03-30,59970735.508,2892371.2739999997,2498780.646166667,0,0,0,0,12.237868084022335,363.6225478769588,0.0
2022-03-31,63788316.658,3307382.728,2657846.5274166665,0,0,0,3,14.042719472258488,363.6327864836463,0.0
2022-04-01,60099505.744,2921812.6029999997,2504146.072666667,0,0,0,0,12.339546497517002,362.5546781459603,0.0
